,Element,Episode,Title,Included,Type_of_element,Category_of_element,HasLocation
10315,Window Frame,S12E11,SOFT MOUNTAIN GLOW,0,Frame,Execution,0
10316,Winter,S12E11,SOFT MOUNTAIN GLOW,0,Season_and_weather,Time_and_atmosphere,0
10317,Wood Framed,S12E11,SOFT MOUNTAIN GLOW,0,Frame,Execution,0
10318,Apple Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10319,Aurora Borealis,S12E12,MOUNTAIN IN AN OVAL,0,Sky,Landscape,1
10320,Barn,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10321,Beach,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10322,Boat,S12E12,MOUNTAIN IN AN OVAL,0,Human_presence,Human,1
10323,Bridge,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10324,Building,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10325,Bushes,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10326,Cabin,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10327,Cactus,S12E12,MOUNTAIN IN AN OVAL,0,Vegetation,Landscape,1
10328,Circle Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10329,Cirrus,S12E12,MOUNTAIN IN AN OVAL,0,Sky,Landscape,0
10330,Cliff,S12E12,MOUNTAIN IN AN OVAL,0,Topography,Landscape,1
10331,Clouds,S12E12,MOUNTAIN IN AN OVAL,1,Sky,Landscape,0
10332,Conifer,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10333,Cumulus,S12E12,MOUNTAIN IN AN OVAL,1,Sky,Landscape,0
10334,Deciduous,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10335,Diane Andre,S12E12,MOUNTAIN IN AN OVAL,0,Painted_by_a_guest,Execution,0
10336,Dock,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10337,Double Oval Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10338,Farm,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10339,Fence,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10340,Fire,S12E12,MOUNTAIN IN AN OVAL,0,Human_presence,Human,0
10341,Florida Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10342,Flowers,S12E12,MOUNTAIN IN AN OVAL,0,Vegetation,Landscape,1
10343,FOG,S12E12,MOUNTAIN IN AN OVAL,0,Season_and_weather,Time_and_atmosphere,1
10344,Framed,S12E12,MOUNTAIN IN AN OVAL,1,Frame,Execution,0
10345,Grass,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10346,Guest,S12E12,MOUNTAIN IN AN OVAL,0,Painted_by_a_guest,Execution,0
10347,Half Circle Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10348,Half Oval Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10349,Hills,S12E12,MOUNTAIN IN AN OVAL,0,Topography,Landscape,1
10350,Lakes,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10351,Lake,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10352,Lighthouse,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10353,Mill,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10354,Moon,S12E12,MOUNTAIN IN AN OVAL,0,Sky,Landscape,0
10355,Mountains,S12E12,MOUNTAIN IN AN OVAL,1,Topography,Landscape,1
10356,Mountain,S12E12,MOUNTAIN IN AN OVAL,1,Topography,Landscape,1
10357,Night,S12E12,MOUNTAIN IN AN OVAL,0,Time_of_day,Time_and_atmosphere,0
10358,Ocean,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10359,Oval Frame,S12E12,MOUNTAIN IN AN OVAL,1,Frame,Execution,0
10360,Palm Trees,S12E12,MOUNTAIN IN AN OVAL,0,Vegetation,Landscape,1
10361,Path,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10362,Person,S12E12,MOUNTAIN IN AN OVAL,0,Person,Human,0
10363,Portrait,S12E12,MOUNTAIN IN AN OVAL,0,Painting_type,Human,0
10364,Rectangle 3D Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10365,Rectangular Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10366,River,S12E12,MOUNTAIN IN AN OVAL,1,Water,Landscape,1
10367,Rocks,S12E12,MOUNTAIN IN AN OVAL,0,Rocks,Landscape,1
10368,Seashell Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10369,Snowy Mountain,S12E12,MOUNTAIN IN AN OVAL,0,Topography,Landscape,1
10370,Snow,S12E12,MOUNTAIN IN AN OVAL,0,Season_and_weather,Time_and_atmosphere,1
10371,Split Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10372,Steve Ross,S12E12,MOUNTAIN IN AN OVAL,0,Painted_by_a_guest,Execution,0
10373,Structure,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10374,SUN,S12E12,MOUNTAIN IN AN OVAL,1,Sky,Landscape,0
10375,Tomb Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10376,Trees,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10377,Tree,S12E12,MOUNTAIN IN AN OVAL,1,Vegetation,Landscape,1
10378,Triple Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10379,Waterfall,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10380,Waves,S12E12,MOUNTAIN IN AN OVAL,0,Water,Landscape,1
10381,Windmill,S12E12,MOUNTAIN IN AN OVAL,0,Human_built,Human,1
10382,Window Frame,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10383,Winter,S12E12,MOUNTAIN IN AN OVAL,0,Season_and_weather,Time_and_atmosphere,0
10384,Wood Framed,S12E12,MOUNTAIN IN AN OVAL,0,Frame,Execution,0
10385,Apple Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10386,Aurora Borealis,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,1
10387,Barn,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10388,Beach,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10389,Boat,S12E13,WINTER MOUNTAIN,0,Human_presence,Human,1
10390,Bridge,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10391,Building,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10392,Bushes,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10393,Cabin,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10394,Cactus,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10395,Circle Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10396,Cirrus,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,0
10397,Cliff,S12E13,WINTER MOUNTAIN,0,Topography,Landscape,1
10398,Clouds,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,0
10399,Conifer,S12E13,WINTER MOUNTAIN,1,Vegetation,Landscape,1
10400,Cumulus,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,0
10401,Deciduous,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10402,Diane Andre,S12E13,WINTER MOUNTAIN,0,Painted_by_a_guest,Execution,0
10403,Dock,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10404,Double Oval Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10405,Farm,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10406,Fence,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10407,Fire,S12E13,WINTER MOUNTAIN,0,Human_presence,Human,0
10408,Florida Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10409,Flowers,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10410,FOG,S12E13,WINTER MOUNTAIN,0,Season_and_weather,Time_and_atmosphere,1
10411,Framed,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10412,Grass,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10413,Guest,S12E13,WINTER MOUNTAIN,0,Painted_by_a_guest,Execution,0
10414,Half Circle Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10415,Half Oval Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10416,Hills,S12E13,WINTER MOUNTAIN,0,Topography,Landscape,1
10417,Lakes,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10418,Lake,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10419,Lighthouse,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10420,Mill,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10421,Moon,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,0
10422,Mountains,S12E13,WINTER MOUNTAIN,1,Topography,Landscape,1
10423,Mountain,S12E13,WINTER MOUNTAIN,1,Topography,Landscape,1
10424,Night,S12E13,WINTER MOUNTAIN,0,Time_of_day,Time_and_atmosphere,0
10425,Ocean,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10426,Oval Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10427,Palm Trees,S12E13,WINTER MOUNTAIN,0,Vegetation,Landscape,1
10428,Path,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10429,Person,S12E13,WINTER MOUNTAIN,0,Person,Human,0
10430,Portrait,S12E13,WINTER MOUNTAIN,0,Painting_type,Human,0
10431,Rectangle 3D Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10432,Rectangular Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10433,River,S12E13,WINTER MOUNTAIN,1,Water,Landscape,1
10434,Rocks,S12E13,WINTER MOUNTAIN,0,Rocks,Landscape,1
10435,Seashell Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10436,Snowy Mountain,S12E13,WINTER MOUNTAIN,1,Topography,Landscape,1
10437,Snow,S12E13,WINTER MOUNTAIN,1,Season_and_weather,Time_and_atmosphere,1
10438,Split Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10439,Steve Ross,S12E13,WINTER MOUNTAIN,0,Painted_by_a_guest,Execution,0
10440,Structure,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10441,SUN,S12E13,WINTER MOUNTAIN,0,Sky,Landscape,0
10442,Tomb Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10443,Trees,S12E13,WINTER MOUNTAIN,1,Vegetation,Landscape,1
10444,Tree,S12E13,WINTER MOUNTAIN,1,Vegetation,Landscape,1
10445,Triple Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10446,Waterfall,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10447,Waves,S12E13,WINTER MOUNTAIN,0,Water,Landscape,1
10448,Windmill,S12E13,WINTER MOUNTAIN,0,Human_built,Human,1
10449,Window Frame,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10450,Winter,S12E13,WINTER MOUNTAIN,1,Season_and_weather,Time_and_atmosphere,0
10451,Wood Framed,S12E13,WINTER MOUNTAIN,0,Frame,Execution,0
10452,Apple Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10453,Aurora Borealis,S13E01,ROLLING HILLS,0,Sky,Landscape,1
10454,Barn,S13E01,ROLLING HILLS,0,Human_built,Human,1
10455,Beach,S13E01,ROLLING HILLS,0,Water,Landscape,1
10456,Boat,S13E01,ROLLING HILLS,0,Human_presence,Human,1
10457,Bridge,S13E01,ROLLING HILLS,0,Human_built,Human,1
10458,Building,S13E01,ROLLING HILLS,0,Human_built,Human,1
10459,Bushes,S13E01,ROLLING HILLS,1,Vegetation,Landscape,1
10460,Cabin,S13E01,ROLLING HILLS,0,Human_built,Human,1
10461,Cactus,S13E01,ROLLING HILLS,0,Vegetation,Landscape,1
10462,Circle Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10463,Cirrus,S13E01,ROLLING HILLS,0,Sky,Landscape,0
10464,Cliff,S13E01,ROLLING HILLS,0,Topography,Landscape,1
10465,Clouds,S13E01,ROLLING HILLS,0,Sky,Landscape,0
10466,Conifer,S13E01,ROLLING HILLS,0,Vegetation,Landscape,1
10467,Cumulus,S13E01,ROLLING HILLS,0,Sky,Landscape,0
10468,Deciduous,S13E01,ROLLING HILLS,1,Vegetation,Landscape,1
10469,Diane Andre,S13E01,ROLLING HILLS,0,Painted_by_a_guest,Execution,0
10470,Dock,S13E01,ROLLING HILLS,0,Human_built,Human,1
10471,Double Oval Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10472,Farm,S13E01,ROLLING HILLS,0,Human_built,Human,1
10473,Fence,S13E01,ROLLING HILLS,0,Human_built,Human,1
10474,Fire,S13E01,ROLLING HILLS,0,Human_presence,Human,0
10475,Florida Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10476,Flowers,S13E01,ROLLING HILLS,0,Vegetation,Landscape,1
10477,FOG,S13E01,ROLLING HILLS,0,Season_and_weather,Time_and_atmosphere,1
10478,Framed,S13E01,ROLLING HILLS,0,Frame,Execution,0
10479,Grass,S13E01,ROLLING HILLS,1,Vegetation,Landscape,1
10480,Guest,S13E01,ROLLING HILLS,0,Painted_by_a_guest,Execution,0
10481,Half Circle Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10482,Half Oval Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10483,Hills,S13E01,ROLLING HILLS,1,Topography,Landscape,1
10484,Lakes,S13E01,ROLLING HILLS,0,Water,Landscape,1
10485,Lake,S13E01,ROLLING HILLS,1,Water,Landscape,1
10486,Lighthouse,S13E01,ROLLING HILLS,0,Human_built,Human,1
10487,Mill,S13E01,ROLLING HILLS,0,Human_built,Human,1
10488,Moon,S13E01,ROLLING HILLS,0,Sky,Landscape,0
10489,Mountains,S13E01,ROLLING HILLS,0,Topography,Landscape,1
10490,Mountain,S13E01,ROLLING HILLS,0,Topography,Landscape,1
10491,Night,S13E01,ROLLING HILLS,0,Time_of_day,Time_and_atmosphere,0
10492,Ocean,S13E01,ROLLING HILLS,0,Water,Landscape,1
10493,Oval Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10494,Palm Trees,S13E01,ROLLING HILLS,0,Vegetation,Landscape,1
10495,Path,S13E01,ROLLING HILLS,0,Human_built,Human,1
10496,Person,S13E01,ROLLING HILLS,0,Person,Human,0
10497,Portrait,S13E01,ROLLING HILLS,0,Painting_type,Human,0
10498,Rectangle 3D Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10499,Rectangular Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10500,River,S13E01,ROLLING HILLS,0,Water,Landscape,1
10501,Rocks,S13E01,ROLLING HILLS,0,Rocks,Landscape,1
10502,Seashell Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10503,Snowy Mountain,S13E01,ROLLING HILLS,0,Topography,Landscape,1
10504,Snow,S13E01,ROLLING HILLS,0,Season_and_weather,Time_and_atmosphere,1
10505,Split Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10506,Steve Ross,S13E01,ROLLING HILLS,0,Painted_by_a_guest,Execution,0
10507,Structure,S13E01,ROLLING HILLS,0,Human_built,Human,1
10508,SUN,S13E01,ROLLING HILLS,0,Sky,Landscape,0
10509,Tomb Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10510,Trees,S13E01,ROLLING HILLS,1,Vegetation,Landscape,1
10511,Tree,S13E01,ROLLING HILLS,1,Vegetation,Landscape,1
10512,Triple Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10513,Waterfall,S13E01,ROLLING HILLS,0,Water,Landscape,1
10514,Waves,S13E01,ROLLING HILLS,0,Water,Landscape,1
10515,Windmill,S13E01,ROLLING HILLS,0,Human_built,Human,1
10516,Window Frame,S13E01,ROLLING HILLS,0,Frame,Execution,0
10517,Winter,S13E01,ROLLING HILLS,0,Season_and_weather,Time_and_atmosphere,0
10518,Wood Framed,S13E01,ROLLING HILLS,0,Frame,Execution,0
10519,Apple Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10520,Aurora Borealis,S13E02,FROZEN SOLITUDE,0,Sky,Landscape,1
10521,Barn,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10522,Beach,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10523,Boat,S13E02,FROZEN SOLITUDE,0,Human_presence,Human,1
10524,Bridge,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10525,Building,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10526,Bushes,S13E02,FROZEN SOLITUDE,1,Vegetation,Landscape,1
10527,Cabin,S13E02,FROZEN SOLITUDE,1,Human_built,Human,1
10528,Cactus,S13E02,FROZEN SOLITUDE,0,Vegetation,Landscape,1
10529,Circle Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10530,Cirrus,S13E02,FROZEN SOLITUDE,0,Sky,Landscape,0
10531,Cliff,S13E02,FROZEN SOLITUDE,0,Topography,Landscape,1
10532,Clouds,S13E02,FROZEN SOLITUDE,1,Sky,Landscape,0
10533,Conifer,S13E02,FROZEN SOLITUDE,1,Vegetation,Landscape,1
10534,Cumulus,S13E02,FROZEN SOLITUDE,0,Sky,Landscape,0
10535,Deciduous,S13E02,FROZEN SOLITUDE,0,Vegetation,Landscape,1
10536,Diane Andre,S13E02,FROZEN SOLITUDE,0,Painted_by_a_guest,Execution,0
10537,Dock,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10538,Double Oval Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10539,Farm,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10540,Fence,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10541,Fire,S13E02,FROZEN SOLITUDE,0,Human_presence,Human,0
10542,Florida Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10543,Flowers,S13E02,FROZEN SOLITUDE,0,Vegetation,Landscape,1
10544,FOG,S13E02,FROZEN SOLITUDE,0,Season_and_weather,Time_and_atmosphere,1
10545,Framed,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10546,Grass,S13E02,FROZEN SOLITUDE,0,Vegetation,Landscape,1
10547,Guest,S13E02,FROZEN SOLITUDE,0,Painted_by_a_guest,Execution,0
10548,Half Circle Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10549,Half Oval Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10550,Hills,S13E02,FROZEN SOLITUDE,0,Topography,Landscape,1
10551,Lakes,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10552,Lake,S13E02,FROZEN SOLITUDE,1,Water,Landscape,1
10553,Lighthouse,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10554,Mill,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10555,Moon,S13E02,FROZEN SOLITUDE,0,Sky,Landscape,0
10556,Mountains,S13E02,FROZEN SOLITUDE,1,Topography,Landscape,1
10557,Mountain,S13E02,FROZEN SOLITUDE,1,Topography,Landscape,1
10558,Night,S13E02,FROZEN SOLITUDE,0,Time_of_day,Time_and_atmosphere,0
10559,Ocean,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10560,Oval Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10561,Palm Trees,S13E02,FROZEN SOLITUDE,0,Vegetation,Landscape,1
10562,Path,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10563,Person,S13E02,FROZEN SOLITUDE,0,Person,Human,0
10564,Portrait,S13E02,FROZEN SOLITUDE,0,Painting_type,Human,0
10565,Rectangle 3D Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10566,Rectangular Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10567,River,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10568,Rocks,S13E02,FROZEN SOLITUDE,0,Rocks,Landscape,1
10569,Seashell Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10570,Snowy Mountain,S13E02,FROZEN SOLITUDE,1,Topography,Landscape,1
10571,Snow,S13E02,FROZEN SOLITUDE,1,Season_and_weather,Time_and_atmosphere,1
10572,Split Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10573,Steve Ross,S13E02,FROZEN SOLITUDE,0,Painted_by_a_guest,Execution,0
10574,Structure,S13E02,FROZEN SOLITUDE,1,Human_built,Human,1
10575,SUN,S13E02,FROZEN SOLITUDE,0,Sky,Landscape,0
10576,Tomb Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10577,Trees,S13E02,FROZEN SOLITUDE,1,Vegetation,Landscape,1
10578,Tree,S13E02,FROZEN SOLITUDE,1,Vegetation,Landscape,1
10579,Triple Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10580,Waterfall,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10581,Waves,S13E02,FROZEN SOLITUDE,0,Water,Landscape,1
10582,Windmill,S13E02,FROZEN SOLITUDE,0,Human_built,Human,1
10583,Window Frame,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10584,Winter,S13E02,FROZEN SOLITUDE,1,Season_and_weather,Time_and_atmosphere,0
10585,Wood Framed,S13E02,FROZEN SOLITUDE,0,Frame,Execution,0
10586,Apple Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10587,Aurora Borealis,S13E03,MEADOW BROOK,0,Sky,Landscape,1
10588,Barn,S13E03,MEADOW BROOK,0,Human_built,Human,1
10589,Beach,S13E03,MEADOW BROOK,0,Water,Landscape,1
10590,Boat,S13E03,MEADOW BROOK,0,Human_presence,Human,1
10591,Bridge,S13E03,MEADOW BROOK,0,Human_built,Human,1
10592,Building,S13E03,MEADOW BROOK,0,Human_built,Human,1
10593,Bushes,S13E03,MEADOW BROOK,0,Vegetation,Landscape,1
10594,Cabin,S13E03,MEADOW BROOK,0,Human_built,Human,1
10595,Cactus,S13E03,MEADOW BROOK,0,Vegetation,Landscape,1
10596,Circle Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10597,Cirrus,S13E03,MEADOW BROOK,1,Sky,Landscape,0
10598,Cliff,S13E03,MEADOW BROOK,0,Topography,Landscape,1
10599,Clouds,S13E03,MEADOW BROOK,1,Sky,Landscape,0
10600,Conifer,S13E03,MEADOW BROOK,0,Vegetation,Landscape,1
10601,Cumulus,S13E03,MEADOW BROOK,0,Sky,Landscape,0
10602,Deciduous,S13E03,MEADOW BROOK,1,Vegetation,Landscape,1
10603,Diane Andre,S13E03,MEADOW BROOK,0,Painted_by_a_guest,Execution,0
10604,Dock,S13E03,MEADOW BROOK,0,Human_built,Human,1
10605,Double Oval Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10606,Farm,S13E03,MEADOW BROOK,0,Human_built,Human,1
10607,Fence,S13E03,MEADOW BROOK,0,Human_built,Human,1
10608,Fire,S13E03,MEADOW BROOK,0,Human_presence,Human,0
10609,Florida Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10610,Flowers,S13E03,MEADOW BROOK,0,Vegetation,Landscape,1
10611,FOG,S13E03,MEADOW BROOK,0,Season_and_weather,Time_and_atmosphere,1
10612,Framed,S13E03,MEADOW BROOK,1,Frame,Execution,0
10613,Grass,S13E03,MEADOW BROOK,1,Vegetation,Landscape,1
10614,Guest,S13E03,MEADOW BROOK,0,Painted_by_a_guest,Execution,0
10615,Half Circle Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10616,Half Oval Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10617,Hills,S13E03,MEADOW BROOK,0,Topography,Landscape,1
10618,Lakes,S13E03,MEADOW BROOK,0,Water,Landscape,1
10619,Lake,S13E03,MEADOW BROOK,0,Water,Landscape,1
10620,Lighthouse,S13E03,MEADOW BROOK,0,Human_built,Human,1
10621,Mill,S13E03,MEADOW BROOK,0,Human_built,Human,1
10622,Moon,S13E03,MEADOW BROOK,0,Sky,Landscape,0
10623,Mountains,S13E03,MEADOW BROOK,0,Topography,Landscape,1
10624,Mountain,S13E03,MEADOW BROOK,1,Topography,Landscape,1
10625,Night,S13E03,MEADOW BROOK,0,Time_of_day,Time_and_atmosphere,0
10626,Ocean,S13E03,MEADOW BROOK,0,Water,Landscape,1
10627,Oval Frame,S13E03,MEADOW BROOK,1,Frame,Execution,0
10628,Palm Trees,S13E03,MEADOW BROOK,0,Vegetation,Landscape,1
10629,Path,S13E03,MEADOW BROOK,0,Human_built,Human,1
10630,Person,S13E03,MEADOW BROOK,0,Person,Human,0
10631,Portrait,S13E03,MEADOW BROOK,0,Painting_type,Human,0
10632,Rectangle 3D Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10633,Rectangular Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10634,River,S13E03,MEADOW BROOK,1,Water,Landscape,1
10635,Rocks,S13E03,MEADOW BROOK,0,Rocks,Landscape,1
10636,Seashell Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10637,Snowy Mountain,S13E03,MEADOW BROOK,0,Topography,Landscape,1
10638,Snow,S13E03,MEADOW BROOK,0,Season_and_weather,Time_and_atmosphere,1
10639,Split Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10640,Steve Ross,S13E03,MEADOW BROOK,0,Painted_by_a_guest,Execution,0
10641,Structure,S13E03,MEADOW BROOK,0,Human_built,Human,1
10642,SUN,S13E03,MEADOW BROOK,0,Sky,Landscape,0
10643,Tomb Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10644,Trees,S13E03,MEADOW BROOK,1,Vegetation,Landscape,1
10645,Tree,S13E03,MEADOW BROOK,1,Vegetation,Landscape,1
10646,Triple Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10647,Waterfall,S13E03,MEADOW BROOK,0,Water,Landscape,1
10648,Waves,S13E03,MEADOW BROOK,0,Water,Landscape,1
10649,Windmill,S13E03,MEADOW BROOK,0,Human_built,Human,1
10650,Window Frame,S13E03,MEADOW BROOK,0,Frame,Execution,0
10651,Winter,S13E03,MEADOW BROOK,0,Season_and_weather,Time_and_atmosphere,0
10652,Wood Framed,S13E03,MEADOW BROOK,0,Frame,Execution,0
10653,Apple Frame,S13E04,EVENING AT SUNSET,0,Frame,Execution,0
10654,Aurora Borealis,S13E04,EVENING AT SUNSET,0,Sky,Landscape,1
10655,Barn,S13E04,EVENING AT SUNSET,0,Human_built,Human,1
10656,Beach,S13E04,EVENING AT SUNSET,0,Water,Landscape,1
10657,Boat,S13E04,EVENING AT SUNSET,0,Human_presence,Human,1
10658,Bridge,S13E04,EVENING AT SUNSET,0,Human_built,Human,1
10659,Building,S13E04,EVENING AT SUNSET,0,Human_built,Human,1
10660,Bushes,S13E04,EVENING AT SUNSET,1,Vegetation,Landscape,1
10661,Cabin,S13E04,EVENING AT SUNSET,1,Human_built,Human,1
10662,Cactus,S13E04,EVENING AT SUNSET,0,Vegetation,Landscape,1
10663,Circle Frame,S13E04,EVENING AT SUNSET,0,Frame,Execution,0
10664,Cirrus,S13E04,EVENING AT SUNSET,1,Sky,Landscape,0
10665,Cliff,S13E04,EVENING AT SUNSET,0,Topography,Landscape,1
10666,Clouds,S13E04,EVENING AT SUNSET,1,Sky,Landscape,0
